云南省云县幸福糖业有限公司 (滇)XK13-001-00076
黄岩城关长城塑料制品厂 (浙)XK02-001-00048
台州市芭玛车业有限公司 (浙)XK16-002-00188
浙江省苏强格液压股份有限公司 (浙)XK13-022-00014
浙江环能传动科技有限公司 (浙)XK13-023-00002
台州市路桥永信制罐有限公司 (浙)XK12-001-00064
温岭市康万电机厂 (浙)XK06-003-00168
台州森浪机电有限公司 (浙)XK06-003-00175
台州日井泵业有限公司（原：台州军联精机有限公司） (浙)XK06-003-00176
台州市精彩电器有限公司 (浙)XK06-003-00177
台州市齐心车业有限公司 (浙)XK16-002-00141
浦江县恒胜气体有限公司 (浙)XK13-010-00084
浦江县永泰油墨厂 (浙)XK13-018-00029
东阳市露欣实业有限公司 (浙)XK02-001-00061
江山市利安消防配件厂 XK05-002-01045
衢州贝德防爆电机有限公司 XK06-014-01011
浙江洁能电气有限公司 XK06-006-00913
江山市桦彬木材制品厂 (浙)XK03-002-00095
衢州铁联化工有限公司 XK13-008-00238
江山市兴农复合专用肥厂 (浙)XK13-001-00016
江山市林凯木制品厂 (浙)XK03-002-00093
浙江飞耀车业有限公司 XK16-002-01710
衢州中园能源科技化工有限公司 (浙)XK13-005-00006
江山市塔峰化工肥料厂 XK13-002-00696
衢州市红枫车业有限公司 (浙)XK16-002-00004
台州市路桥创新眼镜有限公司 (浙)XK02-001-00054
台州市路桥三得利包装厂 (浙)XK12-001-00068
台州金界泵业有限公司 (浙)XK06-003-00181
温岭市大溪新光电器厂 (浙)XK06-003-00183
台州市欧派泵业有限公司 (浙)XK06-003-00184
浙江佳友泵业有限公司（原：台州佳友泵业有限公司） (浙)XK06-003-00185
台州今普机电工贸有限公司 (浙)XK06-003-00187
台州莱诺泵业有限公司 (浙)XK06-003-00189
台州市通源泵业制造有限公司 (浙)XK06-003-00192
浦江县恒胜气体有限公司 (浙)XK13-010-00084
浦江县永泰油墨厂 (浙)XK13-018-00029
东阳市露欣实业有限公司 (浙)XK02-001-00061
金华市固德地板制造有限公司 (浙)XK03-002-02887
永康市桥里被褥厂 (浙)XK16-001-00013
德清县宝利木业有限公司 (浙)XK03-002-00103
湖州精奥新新型材料有限公司 (浙)XK13-014-00020
湖州图龙装饰新材有限公司 (浙)XK03-002-00112
安吉恒丰竹木产品有限公司 (浙)XK03-002-00134
德清县莫干山赛一制罐有限公司 (浙)XK12-001-00159
德清县东安化工厂 (浙)XK13-014-00032
安吉天振竹木开发有限公司 (浙)XK03-002-0133
长兴县小浦腾龙制管厂 (浙)XK08-002-00001
湖州南浔好木匠木业有限公司 (浙)XK03-002-00148
湖州悦锦阁木业有限公司 (浙)XK03-002-00130
湖州市双林东风胶合板厂 (浙)XK03-002-00144
湖州南浔艾米电动自行车制造有限公司 (浙)XK16-002-00146
浙江五丰电缆有限公司 (浙)XK06-001-00066
海盐于通管件制造有限公司 (浙)XK13-022-00038
浙江国联地板有限公司 (浙)XK03-002-00157
湖州昌迪实业有限公司 (浙)XK03-002-00142
湖州宇华木业有限公司 (浙)XK03-002-00145
浙江新世管道股份有限公司 (浙)XK08-002-00004
永康市骏仔休闲旅游用品厂 (浙)XK16-001-00023
浙江和和塑胶有限公司 (浙)XK02-001-00049
金华市大江印铁制罐有限公司 (浙)XK12-001-00208
衢州力士达化工有限公司 (浙)XK13-011-00011
衢州力士达化工有限公司 (浙)XK13-015-00006
舟山亿洋气体有限公司 (浙)XK13-010-00045
舟山市沥港亿鑫气体有限公司 (浙)XK13-010-00046
舟山市普陀区贤达制罐厂 (浙)XK12-001-00197
舟山市力达线缆有限公司 (浙)XK06-001-00115
舟山市辉达水泥构件有限公司 (浙)XK08-002-00036
浙江永吉木业有限公司 (浙)XK03-002-00171
浙江省东阳市塑料有限公司 (浙)XK12-001-00091
金华市方元制罐厂 (浙)XK12-001-00075
武义金剑涂料厂 (浙)XK13-020-00055
浙江久盛交联电缆有限公司 (浙)XK06-001-00103
湖州南浔福昌地板厂 (浙)XK03-002-00175
吴兴泰顺高压油管配件厂 (浙)XK13-022-00005
浙江省国强建筑防水科技有限公司 (浙)XK08-005-00030
台州市依达眼镜有限公司 (浙)XK02-001-00063
台州市路桥德裕劳保用品有限公司 (浙)XK02-001-00062
温岭市菲亚科塑业有限公司 (浙)XK02-001-00064
钱江集团浙江钱江电动车有限公司 (浙)XK16-002-00032
浙江省仙居亿化橡胶有限公司 (浙)XK13-023-00001
浙江宏达橡胶有限公司 (浙)XK13-024-00001
玉环县东方气体有限公司 (浙)XK13-010-00044
台州越锣机电有限公司 (浙)XK06-003-00199
浙江大世纪泵业有限公司 (浙)XK06-003-00202
台州西牛机电有限公司 (浙)XK06-003-00206
台州市元乐泵业有限公司 (浙)XK06-003-00210
温岭市联兴水泵厂 (浙)XK06-003-00213
浙江升光电线电缆有限公司（原：浙江黄岩升光线缆厂） (浙)XK06-001-00085
台州市路桥标界电线厂 (浙)XK06-001-00090
台州海昌电缆厂 (浙)XK06-001-00091
浙江全通电缆有限公司 (浙)XK06-001-00087
浙江沪兴电磁线有限公司 (浙)XK06-001-00097
台州市富丽达橡塑电器有限公司 (浙)XK06-001-00101
浙江日光电缆有限公司 (浙)XK06-001-00054
温岭市中宇机电有限公司 (浙)XK06-003-00638
湖州佳捷时机电有限公司 (浙)XK16-002-00025
浙江枧洋高分子科技有限公司 /
平湖市金兴塑胶有限责任公司 /
天台县建安塑业有限公司 (浙)XK02-001-00074
浙江通宇机车工业有限公司 (浙)XK16-002-00039
台州中韩泵业有限公司 (浙)XK06-003-00220
台州上亿机电有限公司 (浙)XK06-003-00217
台州欧迪泵业有限公司 (浙)XK06-003-00219
温岭市金翼机电有限公司 (浙)XK06-003-00226
浙江大秦泵业有限公司 (浙)XK06-003-00229
浙江德莱斯顿泵业有限公司 (浙)XK06-003-00230
台州新晨泵业有限公司 (浙)XK06-003-00231
台州韩新泵业有限公司 (浙)XK06-003-00232
浙江普轩特机电有限公司 (浙)XK06-003-00235
台州奋超机电有限公司 (浙)XK06-003-00239
台州金樽机电有限公司 (浙)XK06-003-00240
玉环县显龙机电有限公司 (浙)XK06-003-00236
台州市路桥区超力泵业厂 (浙)XK06-003-00244
浙江长通电缆有限公司 (浙)XK06-001-00140
台州古钟电线电缆有限公司 (浙)XK06-001-00139
温岭市电磁线厂 (浙)XK06-001-00137
嘉善华昌木业有限公司 /
嘉善春林木业有限公司 /
兰溪旭日化工有限公司 (浙)XK13-015-00008
浙江省东阳市明星防水材料厂 (浙)XK08-005-00035
永康市大海工贸有限公司 (浙)XK16-002-00011
杭州百居易地板制造有限公司 (浙)XK03-002-00136
杭州余杭区余杭镇润泰水泥制品厂 (浙)XK08-002-00016
杭州康步电动车业有限公司 (浙)XK16-002-00094
宁波市鄞州梅墟水泥预制厂 (浙)XK08-002-00015
慈溪市迪奥车业有限公司 (浙)XK16-002-00019
宁波新朗板业有限公司 (浙)XK03-002-00138
宁波化工防腐设备厂 (浙)XK06-003-00216
宁波经济技术开发区城展水泥制品有限公司 (浙)XK08-002-00020
林德气体（宁波）有限公司 (浙)XK13-010-00063
宁波市成隆装饰防水材料有限公司 (浙)XK08-005-00034
宁波明润瑞达机械科技有限公司 (浙)XK13-022-00064
奉化市工矿橡胶制品厂 (浙)XK13-025-00005
宁波凯森线缆有限公司 (浙)XK06-001-00011
宁波华飞车业有限公司 (浙)XK16-002-00027
宁波市兆盛水泥制品有限公司 (浙)XK08-002-00008
宁波市鄞州恺莉优医疗器械有限公司 (浙)XK16-001-00018
浙江福尔斯特装饰材料有限公司 (浙)XK03-002-00068
宁波隆意祥车业有限公司 (浙)XK16-002-00026
宁波佩特拉电器有限公司 (浙)XK16-001-00020
慈溪市润丰网业制造有限公司 (浙)XK02-001-00057
宁波南洋车业有限公司 (浙)XK16-002-00018
宁波甬发特种漆包线厂 (浙)XK06-001-00067
慈溪市长河恒茂电器厂 (浙)XK16-001-00016
慈溪市新德力车业有限公司 (浙)XK16-002-00021
慈溪市周巷超力家用电器厂 (浙)XK16-001-00017
宁波嘉诺车业有限公司 (浙)XK16-002-00003
宁波东方导线科技有限公司 (浙)XK06-001-00120
宁波远东永丰特种橡胶有限公司 (浙)XK02-001-00037
嘉善春林木业有限公司 (浙)XK03-002-00239
嘉善华昌木业有限公司 (浙)XK03-002-00237
浙江欧力木业有限公司 (浙)XK03-002-00215
杭州萧山祥和防腐设备厂 (浙)XK12-001-00098
长兴县泗安七里亭水泥制品厂 (浙)XK08-002-00021
浙江长兴森大木制品有限公司 (浙)XK03-002-00267
绍兴市上虞区洪盛金属制品有限公司 (浙)XK12-001-00184
金华市城北五金工具厂 浙XK21-001-00060
金华市金南五金工具厂 浙XK21-001-00058
金华市金东区经久建筑安全网厂 浙XK02-001-00073
台州市黄岩荣辉塑料制品厂 (浙)XK02-001-00078
台州市东晖车业有限公司 (浙)XK16-002-00065
台州健豪机电有限公司 (浙)XK06-003-00253
温岭市一帆水泵厂 (浙)XK06-003-00252
浙江奇峰泵业有限公司 (浙)XK06-003-00255
温岭市吉利达机电厂 (浙)XK06-003-00256
台州仨民机电有限公司 (浙)XK06-003-00258
台州浪宇泵业有限公司 (浙)XK06-003-00259
台州双虹泵业有限公司 (浙)XK06-003-00260
台州进翔机电有限公司 (浙)XK06-003-00261
浙江韩益机电有限公司 (浙)XK06-003-00262
台州大云机电有限公司 (浙)XK06-003-00263
台州金泽龙泵业有限公司 (浙)XK06-003-00265
浙江矿友泵业有限公司 (浙)XK06-003-00266
浙江方盛泵业有限公司 (浙)XK06-003-00268
温岭恒通线缆有限公司 (浙)XK06-003-00269
温岭市兴三鱼泵业有限公司 (浙)XK06-003-00271
台州超奇机电有限公司 (浙)XK06-003-00272
台州国龙机电有限公司 (浙)XK06-003-00274
台州鸿科机电有限公司 (浙)XK06-003-00275
台州维朗机电有限公司 (浙)XK06-003-00276
台州市路桥万达电机厂 (浙)XK06-003-00264
杭州超丰化工设备厂 (浙)XK12-001-00106
杭州才联环保科技有限公司 (浙)XK12-001-00291
浙江环兴机械有限公司 (浙)XK12-001-00110
湖州平潮电线电缆有限公司 (浙)XK06-001-00062
湖州织里申工电线电缆厂 (浙)XK06-001-00045
浙江扬帆新材料股份有限公司 (浙)XK13-008-00060
浙江兰歌化学工业有限公司 (浙)XK13-020-00053
中海石油舟山石化有限公司 (浙)XK13-014-00048
杭州萧山袁东防腐设备厂 (浙)XK12-001-00094
浙江兰歌化学工业有限公司 (浙)XK03-002-00291
金华市林晟工板厂 (浙)XK03-002-00600
兰溪市庆丰化工有限公司 (浙)XK13-009-00003
浙江富尔康摩配有限公司 (浙)XK15-001-00005
杭州宝驰捷电动车有限公司 (浙)XK16-002-00043
杭州汇友塑料制品有限公司 (浙)XK12-001-00287
杭州萧南金属包装有限公司 (浙)XK12-001-00049
海盐县海管管件制造有限公司 (浙)XK13-022-00040
海盐水泥制管有限公司 (浙)XK08-002-00060
海盐远东橡胶制品厂 (浙)XK13-025-00063
华容县华湘木业有限公司 湘XK03-002-00015
邵阳创兴人造板有限公司 湘XK03-002-00031
平江县宏辉木业有限公司 湘XK03-002-00033
怀化市洪江区恒友木业有限公司 湘XK03-002-00036
沅陵县久鼎木业有限公司 湘XK03-002-00037
湖南湘恒竹木有限责任公司 湘XK03-002-00038
桃江县伊联木业有限责任公司 湘XK03-002-00039
衡阳凌志木业有限公司 湘XK03-002-00040
长沙市雨花区顺成贴面板厂 湘XK03-002-00041
桃江县福丰木业有限公司 湘XK03-002-00042
桃江县福泰木业有限责任公司 湘XK03-002-00043
洞口佳和建材有限公司 湘XK03-002-00045
邵阳市欣桦木业有限责任公司 湘XK03-002-00048
桃江军福林业科技有限责任公司 湘XK03-002-00049
邵阳嘉鼎木业有限公司 湘XK03-002-00050
长沙莲湖乙炔有限公司 (湘)XK13-005-00023
金瑞新材料科技股份有限公司 (湘)XK13-015-00018
衡阳恒宝木业有限公司 (湘)XK03-002-00071
湖南恒嘉木业有限公司 (湘)XK03-002-00072
隆回县宝丰木业加工厂 (湘)XK03-002-00073
澧县振顺人造板有限责任公司 (湘)XK03-002-00075
安化县家源美木业胶合板厂 (湘)XK03-002-00077
汉寿县洞庭木业有限责任公司 (湘)XK06-002-00078
新化县红盛木业有限公司 (湘)XK03-002-00079
湖南福星林业股份有限公司 (湘)XK03-002-00080
怀化树人木业有限公司 (湘)XK03-002-00083
湘潭市霞城电工有限公司 (湘)XK06-001-00025
金杯电工电磁线有限公司 (湘)XK06-001-00026
株洲时代电气绝缘有限责任公司 (湘)XK06-001-00033
株洲钻石皇族特种防护用品有限公司 (湘)XK02-001-00006
湖南长沙远扬化工实业有限公司 (湘)XK13-001-00031
长沙浩博生物科技有限公司（所属单位名称：长沙浩博生物技术有限公司宁乡分公司） (湘)XK13-001-00091
泸溪县金大地化肥有限责任公司 (湘)XK13-001-00094
泸溪县武沅化肥厂 XK13-002-00698
长沙华建液压器材有限公司（所属单位名称：长沙华建液压器材有限公司机械分公司） (湘)XK13-022-00001
中国石化集团资产经营管理有限公司巴陵石化分公司 (湘)XK13-010-00006
湖南国发精细化工科技有限公司 (湘)XK13-010-00013
湖南省南岭化工厂包装材料有限责任公司 (湘)XK12-001-00024
益阳市成美塑业有限公司 (湘)XK12-001-00027
湖南省金华车辆有限公司 (湘)XK12-001-00029
岳阳市九原复合材料有限公司 (湘)XK12-001-00034
津市市大同密封件有限公司 (湘)XK13-025-00002
湘阴县兴业化工有限公司 (湘)XK13-014-00014
永州海宁化工实业有限公司 (湘)XK13-014-00016
岳阳市君山区兴达化工厂 (湘)XK13-014-00017
湖南永利化工股份有限公司（所属单位：湖南永利化工股份有限公司产品事业部） (湘)XK13-006-00012
泸溪县森工高科技有限公司 (湘)XK13-006-00020
冷水江金富源碱业有限公司 (湘)XK13-016-00005
湖南省康华化肥工业有限责任公司 (湘)XK13-16-00007
衡山金贝尔化工有限公司 (湘)XK13-016-00009
双峰县五环磷化有限责任公司 (湘)XK13-015-00015
邵阳市海纳兴业化工有限公司 (湘)XK13-015-00016
湖南磷化工总厂 (湘)XK13-015-00017
湖南恒光化工有限公司 (湘)XK13-015-00019
株洲市益铭漂白粉制造有限公司 (湘)XK13-008-00002
娄底市工业气体厂 (湘)XK13-005-00013
慈利县和气气体厂 (湘)XK13-005-00019
蓝山县盛盈气体有限公司 湘XK13-005-00020
厦门宝岛眼镜有限公司福州第四分店 (闽)XK16-005-00075
厦门宝岛眼镜有限公司福州第一分店 (闽)XK16-005-00075
厦门宝岛眼镜有限公司福州第三分店 (闽)XK16-005-00075
厦门宝岛眼镜有限公司福州第八分店 (闽)XK16-005-00075
厦门宝岛眼镜有限公司福州第十分店 (闽)XK16-005-00075
厦门宝岛眼镜有限公司福州第五分店 (闽)XK16-005-00075
厦门宝岛眼镜有限公司福州第十一分店 (闽)XK16-005-00075
福州市台江区利业宝岛眼镜店 (闽)XK16-005-00075
厦门宝岛眼镜有限公司福州第九分店 (闽)XK16-005-00075
厦门宝岛眼镜有限公司福州第六分店 (闽)XK16-005-00075
福州华贸建筑材料工程有限公司 (闽)XK21-002-00027
福州华贸建筑材料工程有限公司合肥第一分公司 (闽)XK21-002-00027
台江区好眼力眼镜店 (闽)XK16-005-00131
福州市仓山区金福岛眼镜店 (闽)XK16-005-00094
福州精益眼镜有限公司 (闽)XK16-005-00102
福清市融城舒视丽眼镜店 (闽)XK16-005-00320
福州沃尔玛百货有限公司 (闽)XK16-117-00007
厦门市康府德窗业有限公司 (闽)XK21-002-00058
福州天天有建材有限公司 (闽)XK21-002-00053
福建省广源工贸有限公司宁德分公司 (闽)XK21-002-00050
福鼎市精鼎门窗厂 (闽)XK21-002-00057
福州兴哲运通门窗工程有限公司 (闽)XK21-002-00045
漳州同舟实业有限公司 (闽)XK21-002-00051
宁德市筑杰建筑装饰有限公司 (闽)XK21-002-00055
厦门市民盛集团新型建材有限公司 (闽)XK21-002-00047
厦门康恒实业有限公司福州分公司 (闽)XK21-002-00010
厦门顺利泰门窗工贸有限公司 (闽)XK21-201-00001
福州市一建建设股份有限公司 (闽)XK21-002-00054
福建山海装饰装修工程有限公司 (闽)XK21-002-00024
厦门佳迅装饰建筑工程有限公司 (闽)XK21-002-00036
龙岩市华阳铝业有限公司 (闽)XK21-002-00021
福清市龙港金属制品有限公司 (闽)XK21-002-00009
福建省福清市洪涛装饰广告有限公司 (闽)XK21-201-00005
莱尔斯特（厦门）幕墙科技有限公司 (闽)XK21-002-00032
福清市龙固铝业有限公司 (闽)XK21-002-00039
厦门市百思得铝制品工程有限公司 (闽)XK21-201-00003
厦门平诚装饰工程有限公司 (闽)XK21-201-00006
福建省南铝铝材工程有限公司 (闽)XK21-002-00030
厦门市建筑装饰公司 (闽)XK21-002-00029
厦门市定昕铝业工程有限公司福州分公司 (闽)XK21-002-00011
厦门浩洋电工科技有限公司 (闽)XK21-002-00034
厦门市定昕铝业工程有限公司 (闽)XK21-002-00011
厦门恒洋装饰工程有限公司 (闽)XK21-002-00056
福州天晟门窗有限公司 (闽)XK21-002-00044
福建二建建设集团公司 (闽)XK21-002-00046
厦门海石幕墙设计工程有限公司 (闽)XK21-002-00052
厦门夏通建设工程有限公司 (闽)XK21-002-00049
厦门厦工宇威重工有限公司 (闽)XK21-002-00040
厦门泉艺钢结构幕墙股份有限公司 (闽)XK21-002-00048
福州第七建筑工程有限公司 (闽)XK21-002-00041
厦门六合兴门窗有限公司 (闽)XK21-002-00007
厦门鹭路塑料异型材有限公司 (闽)XK21-002-00017
漳州天丰装饰工程有限公司 (闽)XK21-002-00014
厦门欣宏晟建筑装饰有限公司 (闽)XK21-002-00020
平潭县冠顺门窗加工厂 (闽)XK21-002-00022
福州兴凯乐门窗有限公司 (闽)XK21-002-00043
福州海皇建筑装饰工程有限公司 (闽)XK21-002-00008
莆田市三鑫装饰有限公司 (闽)XK21-002-00015
